caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
386,.29890001,28938.44481,4,1. Male respondent selected,4. Other race,40,0,0,Seldom,4,Once/week,1,0,12,8,1,1,1,1
387,.27700001,26823.329108,0,2. Female respondent selected,4. Other race,62,1,0,Seldom,,Once/week,1,1,0,3,0,0,0,0
388,.52069998,50420.929812,4,2. Female respondent selected,4. Other race,50,1,0,Always,,Few times a week,1,0,10,1,1,1,1,1
389,.62110001,60145.368854,3,2. Female respondent selected,4. Other race,50,1,0,Nearly Always,6,Daily,1,0,14,8,0,1,1,1
390,.2357,22818.915283,1,2. Female respondent selected,4. Other race,39,1,0,Part of the Time,,Few times a week,1,0,14,12,0,1,0,0
391,.3788,36681.020796,2,2. Female respondent selected,4. Other race,23,1,0,Seldom,4,Few times a week,0,0,11,1,0,1,0,1
392,.35600001,34475.598714,3,1. Male respondent selected,4. Other race,45,0,0,Always,3,Several/Day,1,1,12,11,1,1,0,1
393,.3087,29893.156794,3,1. Male respondent selected,4. Other race,58,0,0,Seldom,4,Daily,1,0,9,5,1,0,1,1
394,.37040001,35866.79163,4,2. Female respondent selected,4. Other race,56,1,0,Always,2,Never,1,1,17,13,1,1,1,1
395,.9181,88903.46647,4,2. Female respondent selected,1. White,70,1,1,Nearly Always,2,Once/week,1,0,16,16,1,1,1,1
396,.29609999,28668.751976,4,2. Female respondent selected,4. Other race,55,1,0,Nearly Always,,Several/Day,1,1,17,2,1,1,1,1
397,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,4. Other race,42,1,0,Seldom,,Several/Day,1,1,12,2,,,,
398,.74190003,71836.11367000001,0,1. Male respondent selected,1. White,49,0,1,Always,5,Daily,1,1,12,17,0,0,0,0
399,.73570001,71234.59314300001,2,2. Female respondent selected,1. White,38,1,1,Part of the Time,3,Few times a week,1,0,16,19,1,1,0,0
400,.57870001,56031.612867,2,1. Male respondent selected,1. White,27,0,1,Always,3,Never,1,0,16,15,1,1,0,0
401,1.1329,109696.808614,2,2. Female respondent selected,1. White,28,1,1,Part of the Time,4,Several/Day,1,1,16,7,1,1,0,0
402,.2852,27620.384563,3,2. Female respondent selected,,68,1,0,Always,5,Daily,1,1,13,6,1,1,0,1
403,.76880002,74446.391017,1,2. Female respondent selected,1. White,85,1,1,Seldom,6,Daily,1,0,11,,0,1,0,0
404,.98610002,95478.46934700001,2,1. Male respondent selected,1. White,43,0,1,Seldom,4,Several/Day,1,1,13,13,1,1,0,0
405,.88599998,85786.287767,3,1. Male respondent selected,1. White,49,0,1,Nearly Always,2,Few times a week,1,1,16,16,1,1,0,1
406,.77710003,75246.436048,4,1. Male respondent selected,1. White,51,0,1,Always,7,Several/Day,1,1,16,,1,1,1,1
407,.48460001,46920.008032,1,1. Male respondent selected,1. White,19,0,1,Seldom,,Once/week,1,0,12,5,0,1,0,0
408,.77710003,75246.436048,4,2. Female respondent selected,1. White,55,1,1,Nearly Always,6,Several/Day,1,0,16,17,1,1,1,1
409,.85659999,82944.18468799999,4,1. Male respondent selected,1. White,45,0,1,Seldom,,Once/week,1,0,15,23,1,1,1,1
410,1.5027,145507.03734,0,1. Male respondent selected,1. White,57,0,1,Nearly Always,4,Few times a week,1,1,14,17,0,0,0,0
411,1.0717,103769.490613,2,1. Male respondent selected,1. White,45,0,1,Nearly Always,3,Once/week,1,0,16,14,1,1,0,0
412,1.3704,132692.324706,2,2. Female respondent selected,1. White,24,1,1,Nearly Always,3,Several/Day,1,0,17,2,1,1,0,0
413,1.7798001,172334.708422,2,2. Female respondent selected,1. White,39,1,1,Always,2,Few times a week,1,1,17,16,1,1,0,0
414,.3788,36681.394423,2,2. Female respondent selected,4. Other race,22,1,0,Part of the Time,,Few times a week,1,1,12,1,0,0,1,1
415,.588,56938.655234,2,2. Female respondent selected,1. White,38,1,1,Seldom,4,Few times a week,1,0,15,11,0,1,0,1
416,.3788,36681.020796,2,2. Female respondent selected,4. Other race,19,1,0,Seldom,,Daily,1,0,12,3,0,0,1,1
417,.3788,36681.394423,2,2. Female respondent selected,4. Other race,23,1,0,Seldom,4,Once/week,1,0,12,1,0,0,1,1
418,.29890001,28938.739573,3,1. Male respondent selected,4. Other race,43,0,0,Part of the Time,6,Daily,1,1,12,6,1,1,0,1
419,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,19,0,1,Seldom,,Never,1,0,12,3,,,,
420,.90549999,87681.960272,2,2. Female respondent selected,1. White,29,1,1,Nearly Always,6,Several/Day,1,1,15,1,0,1,0,1
421,.2485,24064.240442,3,2. Female respondent selected,1. White,58,1,1,Nearly Always,6,Several/Day,1,0,14,8,1,1,0,1
422,.62110001,60145.368854,0,1. Male respondent selected,1. White,56,0,1,Nearly Always,,Once/week,1,1,13,1,0,0,0,0
423,1.9715,190897.095492,1,1. Male respondent selected,1. White,20,0,1,Seldom,6,Daily,1,0,14,3,0,1,0,0
424,.56239998,54455.002476,4,2. Female respondent selected,1. White,61,1,1,Nearly Always,7,Few times a week,1,1,14,12,1,1,1,1
425,1.9715,190897.095492,2,1. Male respondent selected,1. White,22,0,1,Part of the Time,4,Once/week,1,0,15,3,0,1,0,1
426,1.0326999,99997.495738,2,1. Male respondent selected,1. White,42,0,1,Part of the Time,3,Few times a week,1,0,12,12,0,1,0,1
427,.77710003,75246.436048,3,1. Male respondent selected,1. White,,0,1,Always,6,Never,1,1,17,18,1,1,0,1
428,.588,56938.655234,1,1. Male respondent selected,1. White,30,0,1,Part of the Time,4,Never,1,1,13,17,0,1,0,0
429,.58920002,57048.795377,3,1. Male respondent selected,1. White,68,0,1,Always,6,Daily,1,1,12,4,1,1,0,1
430,1.1329,109696.808614,3,2. Female respondent selected,1. White,25,1,1,Part of the Time,3,Once/week,1,0,16,12,0,1,1,1
431,.62110001,60145.368854,4,2. Female respondent selected,1. White,53,1,1,Nearly Always,5,Once/week,1,0,13,4,1,1,1,1
432,.2485,24064.240442,2,1. Male respondent selected,1. White,57,0,1,Nearly Always,3,Several/Day,1,0,15,14,0,1,0,1
433,.36160001,35013.27355,3,1. Male respondent selected,1. White,25,0,1,Seldom,,Few times a week,1,0,13,1,0,1,1,1
434,.29480001,28548.200506,0,1. Male respondent selected,1. White,30,0,1,Seldom,6,Daily,1,1,16,15,0,0,0,0
435,.70359999,68127.354431,3,2. Female respondent selected,1. White,68,1,1,Always,2,Few times a week,1,0,17,10,1,1,0,1
436,.94870001,91858.414882,2,1. Male respondent selected,1. White,22,0,1,Part of the Time,4,Daily,1,1,12,14,0,0,1,1
437,.74190003,71836.11367000001,2,2. Female respondent selected,1. White,40,1,1,Nearly Always,6,Several/Day,1,1,12,8,0,1,0,1
438,.76880002,74446.391017,2,2. Female respondent selected,1. White,80,1,1,Always,4,Once/week,1,0,12,6,0,1,0,1
439,.37029999,35859.099147,1,2. Female respondent selected,4. Other race,37,1,0,Part of the Time,,Daily,1,1,12,10,0,0,0,1
440,.588,56938.655234,2,2. Female respondent selected,1. White,37,1,1,Seldom,2,Never,1,0,14,12,0,1,1,0
441,.2357,22818.915283,1,2. Female respondent selected,1. White,39,1,1,Seldom,4,Never,1,0,16,15,0,0,1,0
442,.3576,34623.656775,0,1. Male respondent selected,4. Other race,74,0,0,Seldom,,Never,,0,3,11,0,0,0,0
443,.90549999,87681.960272,1,2. Female respondent selected,1. White,23,1,1,Always,,Never,1,0,14,10,0,0,0,1
444,.4492,43494.742322,0,1. Male respondent selected,4. Other race,22,0,0,Seldom,,Few times a week,1,0,11,11,0,0,0,0
445,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,24,1,1,Nearly Always,4,Daily,0,1,12,3,,,,
446,1.2901,124918.356372,2,2. Female respondent selected,1. White,45,1,1,Always,3,Daily,1,0,16,14,0,1,0,1
447,1.2901,124918.356372,3,2. Female respondent selected,1. White,56,1,1,Always,2,Daily,1,1,15,1,1,1,1,0
448,1.3515,130868.449683,2,2. Female respondent selected,1. White,51,1,1,Nearly Always,,Daily,1,0,12,9,0,1,0,1
449,2.9609001,286696.935889,1,2. Female respondent selected,1. White,19,1,1,Always,2,Several/Day,1,0,13,2,0,1,0,0
450,2.2546999,218319.644926,1,2. Female respondent selected,1. White,19,1,1,Always,2,Once/week,1,0,13,1,0,1,0,0
451,.89840001,86988.598591,1,1. Male respondent selected,4. Other race,18. 18 years old,0,0,Seldom,3,Few times a week,1,0,11,1,0,1,0,0
452,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,34,1,0,Always,,Several/Day,1,0,15,18,,,,
453,1.2510999,121142.944698,3,2. Female respondent selected,1. White,32,1,1,Seldom,3,Once/week,1,1,16,21,1,1,0,1
454,1.3216,127965.563341,3,1. Male respondent selected,1. White,53,0,1,Seldom,4,Never,1,1,16,25,1,1,1,0
455,.88599998,85786.287767,1,2. Female respondent selected,1. White,48,1,1,Part of the Time,,Daily,1,0,16,18,0,0,0,1
456,1.2043,116611.480887,1,2. Female respondent selected,1. White,43,1,1,Seldom,,,1,1,13,,0,0,0,1
457,.44389999,42978.890874,0,2. Female respondent selected,1. White,20,1,1,Part of the Time,4,Few times a week,1,0,12,7,0,0,0,0
458,.7202,69740.82011099999,2,2. Female respondent selected,5. White and another race,74,1,0,Nearly Always,,Several/Day,1,0,16,4,1,1,0,0
459,.89840001,86988.598591,0,1. Male respondent selected,4. Other race,18. 18 years old,0,0,Seldom,2,Once/week,1,0,7,1,0,0,0,0
460,.61739999,59786.313587,1,2. Female respondent selected,1. White,59,1,1,Always,4,Daily,1,1,5,13,0,1,0,0
461,.616,59650.749129,2,2. Female respondent selected,1. White,38,1,1,Seldom,1,Few times a week,1,0,12,,0,0,1,1
462,.3175,30746.42829,1,1. Male respondent selected,2. Black/African-American,35,0,0,Nearly Always,,Daily,1,0,12,1,0,0,1,0
463,.4883,47279.682503,0,2. Female respondent selected,2. Black/African-American,21,1,0,Seldom,,Few times a week,1,0,12,7,0,0,0,0
464,.36629999,35468.993108,1,1. Male respondent selected,2. Black/African-American,60,0,0,Always,,Several/Day,1,1,12,16,0,1,0,0
465,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,2. Black/African-American,32,0,0,Seldom,4,Few times a week,1,1,17,16,,,,
466,.89840001,86988.598591,3,1. Male respondent selected,4. Other race,"17. 17 years old (18 by Oct 30, 2008)",0,0,Seldom,,Never,1,0,11,1,0,1,1,1
467,.72549999,70246.69931,2,2. Female respondent selected,2. Black/African-American,46,1,0,Part of the Time,4,Several/Day,1,1,14,13,1,1,0,0
468,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,77,1,0,Always,,Several/Day,1,0,10,9,,,,
469,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,90. 90 years old or older,1,0,Always,,Several/Day,,0,12,,,,,
470,.63749999,61726.806717,0,1. Male respondent selected,4. Other race,18. 18 years old,0,0,Seldom,3,Few times a week,1,0,12,1,0,0,0,0
471,.3087,29893.156794,0,1. Male respondent selected,6. Black and another race,53,0,0,Seldom,6,Several/Day,1,0,9,1,0,0,0,0
472,.76880002,74446.391017,3,2. Female respondent selected,1. White,72,1,1,Always,2,Daily,1,0,12,11,1,1,0,1
473,.6857,66395.602934,2,1. Male respondent selected,2. Black/African-American,67,0,0,Part of the Time,,Several/Day,1,1,10,7,1,1,0,0
474,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,41,1,0,Nearly Always,5,Several/Day,1,0,14,17,,,,
475,.2897,28055.464451,2,1. Male respondent selected,2. Black/African-American,30,0,0,Nearly Always,,Daily,1,0,14,17,1,1,0,0
476,.23729999,22976.632167,2,2. Female respondent selected,2. Black/African-American,71,1,0,Part of the Time,,Few times a week,1,0,12,5,1,1,0,0
477,.90549999,87681.960272,1,2. Female respondent selected,4. Other race,22,1,0,Part of the Time,,Several/Day,1,0,13,6,0,0,0,1
478,.66829997,64712.562996,1,1. Male respondent selected,2. Black/African-American,29,0,0,Seldom,3,Few times a week,1,0,14,13,0,1,0,0
479,.3788,36681.020796,2,2. Female respondent selected,4. Other race,21,1,0,Seldom,4,Few times a week,1,0,10,7,0,1,1,0
480,.19159999,18551.56772,1,2. Female respondent selected,2. Black/African-American,38,1,0,Always,,Several/Day,1,0,12,6,0,1,0,0
481,.45559999,44119.68641,0,2. Female respondent selected,2. Black/African-American,53,1,0,Nearly Always,,Several/Day,1,1,12,12,0,0,0,0
482,.66369998,64270.070455,1,1. Male respondent selected,2. Black/African-American,25,0,0,Seldom,,Few times a week,1,0,9,6,0,0,0,1
483,.65069997,63010.204474,2,1. Male respondent selected,4. Other race,57,0,0,Always,4,Several/Day,1,0,12,9,0,1,1,0
484,.2278,22059.843205,1,2. Female respondent selected,2. Black/African-American,52,1,0,Seldom,7,Several/Day,1,0,12,1,0,1,0,0
485,.48750001,47207.615174,3,1. Male respondent selected,2. Black/African-American,63,0,0,Seldom,3,Once/week,1,0,9,4,1,1,0,1
486,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,31,1,0,Always,4,Daily,1,0,12,13,,,,
487,.51569998,49932.856221,2,1. Male respondent selected,4. Other race,42,0,0,Nearly Always,,Several/Day,1,0,11,,1,1,0,0
488,.2158,20897.71978,3,1. Male respondent selected,2. Black/African-American,33,0,0,Nearly Always,,Few times a week,1,0,12,15,0,1,1,1
489,.2278,22059.843205,0,2. Female respondent selected,2. Black/African-American,52,1,0,Always,,Several/Day,1,0,12,11,0,0,0,0
490,.3109,30106.197102,3,1. Male respondent selected,5. White and another race,57,0,0,Nearly Always,3,Never,,,16,4,1,1,1,0
491,.787,76207.848623,0,1. Male respondent selected,2. Black/African-American,26,0,0,Part of the Time,,Daily,,0,11,,0,0,0,0
492,.41119999,39812.654577,2,1. Male respondent selected,2. Black/African-American,59,0,0,Seldom,,Once/week,1,0,12,11,1,1,0,0
493,.53460002,51764.813384,3,2. Female respondent selected,2. Black/African-American,76,1,0,Always,,Several/Day,1,0,12,11,1,1,0,1
494,.31110001,30124.127761,2,2. Female respondent selected,2. Black/African-American,48,1,0,Always,,Several/Day,1,0,16,16,0,1,1,0
495,.71619999,69352.38015,0,2. Female respondent selected,2. Black/African-American,66,1,0,Always,3,Daily,1,0,16,14,0,0,0,0
496,1.0565,102302.610364,0,1. Male respondent selected,4. Other race,53,0,0,Always,,Several/Day,1,0,15,1,0,0,0,0
497,.75999999,73592.68005900001,2,2. Female respondent selected,2. Black/African-American,49,1,0,Part of the Time,,Several/Day,1,0,12,4,1,1,0,0
498,1.148,111164.185464,2,2. Female respondent selected,2. Black/African-American,26,1,0,Part of the Time,5,Never,1,0,9,7,0,0,1,1
499,.92470002,89534.57300999999,0,2. Female respondent selected,2. Black/African-American,74,1,0,Seldom,4,Several/Day,1,0,10,6,0,0,0,0
500,.7112,68861.622304,0,2. Female respondent selected,2. Black/African-American,63,1,0,Seldom,,Several/Day,1,1,11,2,0,0,0,0
501,.7112,68861.622304,0,2. Female respondent selected,2. Black/African-American,60,1,0,Always,7,Few times a week,1,0,11,1,0,0,0,0
502,.74659997,72291.129631,0,2. Female respondent selected,2. Black/African-American,28,1,0,Seldom,,Several/Day,1,0,11,1,0,0,0,0
503,.57249999,55434.180063,3,1. Male respondent selected,2. Black/African-American,52,0,0,Nearly Always,3,Few times a week,1,,15,,0,1,1,1
504,.72549999,70246.69931,0,2. Female respondent selected,2. Black/African-American,49,1,0,Always,5,Few times a week,1,0,13,16,0,0,0,0
505,.54089999,52372.119277,0,2. Female respondent selected,2. Black/African-American,38,1,0,Always,,Daily,1,0,12,14,0,0,0,0
506,1.3225,128059.880925,1,1. Male respondent selected,1. White,78,0,1,Always,5,Several/Day,1,0,9,4,0,1,0,0
507,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,2. Black/African-American,74,0,0,Always,,Few times a week,1,0,8,1,,,,
508,.59979999,58074.613011,1,2. Female respondent selected,2. Black/African-American,65,1,0,Part of the Time,,Daily,1,0,12,7,0,1,0,0
509,.62959999,60966.896175,0,1. Male respondent selected,2. Black/African-American,35,0,0,Nearly Always,6,Several/Day,1,0,12,1,0,0,0,0
510,.79390001,76872.55766999999,1,2. Female respondent selected,2. Black/African-American,25,1,0,Always,4,Few times a week,1,0,13,13,0,0,1,0
511,.92470002,89534.57300999999,0,1. Male respondent selected,2. Black/African-American,84,0,0,Always,,Several/Day,1,1,3,6,0,0,0,0
512,.75999999,73592.68005900001,0,1. Male respondent selected,2. Black/African-American,48,0,0,Always,2,Few times a week,1,1,12,14,0,0,0,0
513,.51520002,49887.574247,0,1. Male respondent selected,2. Black/African-American,69,0,0,Always,6,Once/week,1,0,12,6,0,0,0,0
514,.57249999,55434.180063,0,2. Female respondent selected,2. Black/African-American,61,1,0,Part of the Time,4,Several/Day,1,1,13,13,0,0,0,0
515,.55800003,54028.983197,2,2. Female respondent selected,4. Other race,69,1,0,Always,3,Several/Day,1,0,17,15,1,1,0,0
516,1.4827,143571.081738,2,1. Male respondent selected,1. White,47,0,1,Nearly Always,5,Never,1,0,17,25,1,1,0,0
517,.9048,87608.542411,0,2. Female respondent selected,1. White,26,1,1,Nearly Always,2,Once/week,1,0,17,10,0,0,0,0
518,1.2312,119217.509709,2,2. Female respondent selected,1. White,38,1,1,Nearly Always,4,Once/week,1,0,16,19,1,1,0,0
519,3.7042999,358679.696587,1,2. Female respondent selected,1. White,23,1,1,Always,7,Several/Day,1,0,16,7,0,1,0,0
520,2.3155,224205.846596,3,1. Male respondent selected,1. White,46,0,1,Nearly Always,5,Once/week,1,0,14,19,1,1,1,0
521,1.8388,178053.527832,0,2. Female respondent selected,1. White,63,1,1,Nearly Always,4,Few times a week,1,0,14,12,0,0,0,0
522,.75190002,72806.328632,0,2. Female respondent selected,2. Black/African-American,40,1,0,Part of the Time,3,Once/week,1,1,17,16,0,0,0,0
523,1.3785,133474.872411,1,1. Male respondent selected,4. Other race,43,0,0,Seldom,,Never,1,0,14,17,0,1,0,0
524,1.7746,171830.382262,0,2. Female respondent selected,1. White,86,1,1,Always,3,Daily,1,0,12,6,0,0,0,0
525,1.4285001,138324.890292,1,2. Female respondent selected,1. White,80,1,1,Nearly Always,,Several/Day,1,0,15,4,1,0,0,0
526,.58920002,57048.795377,0,2. Female respondent selected,4. Other race,69,1,0,Always,,Once/week,1,0,12,11,0,0,0,0
527,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,52,1,1,Always,,Several/Day,1,1,13,,,,,
528,.55150002,53406.04736,1,1. Male respondent selected,2. Black/African-American,50,0,0,Always,6,Several/Day,1,0,13,12,0,1,0,0
529,.52249998,50592.590431,2,1. Male respondent selected,2. Black/African-American,31,0,0,Seldom,3,Once/week,1,1,15,11,0,1,0,1
530,.55150002,53406.04736,3,2. Female respondent selected,2. Black/African-American,54,1,0,Seldom,2,Few times a week,1,1,14,14,1,1,1,0
531,.76880002,74446.391017,1,2. Female respondent selected,1. White,72,1,1,Always,4,Several/Day,1,0,12,9,0,1,0,0
532,.94870001,91858.414882,0,2. Female respondent selected,1. White,28,1,1,Seldom,,Once/week,1,0,12,5,0,0,0,0
533,.86500001,83756.874406,1,2. Female respondent selected,1. White,63,1,1,Nearly Always,6,Daily,1,1,12,1,0,1,0,0
534,1.9942,193096.985283,2,2. Female respondent selected,1. White,25,1,1,Seldom,2,Never,1,0,13,14,1,0,0,1
535,.95539999,92509.188801,3,1. Male respondent selected,1. White,58,0,1,Nearly Always,3,Never,1,1,12,24,1,1,1,0
536,.65069997,63010.204474,3,2. Female respondent selected,1. White,56,1,1,Always,4,Several/Day,1,0,12,12,0,1,1,1
537,.34259999,33171.114445,2,2. Female respondent selected,2. Black/African-American,51,1,0,Part of the Time,,Several/Day,1,0,10,11,0,0,1,1
538,.52069998,50420.929812,3,1. Male respondent selected,1. White,53,0,1,Part of the Time,6,Once/week,1,1,12,13,1,1,1,0
539,.75760001,73362.041591,0,2. Female respondent selected,1. White,27,1,1,Always,7,Several/Day,1,1,12,1,0,0,0,0
540,.9048,87609.02920800001,1,2. Female respondent selected,1. White,37,1,1,Always,6,Several/Day,1,1,12,13,0,1,0,0
541,1.1413,110514.407779,0,1. Male respondent selected,1. White,59,0,1,Nearly Always,6,Few times a week,1,1,16,10,0,0,0,0
542,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,56,1,1,Always,7,Several/Day,1,0,12,9,,,,
543,.73390001,71061.59526,0,2. Female respondent selected,1. White,77,1,1,Part of the Time,5,Several/Day,1,0,13,6,0,0,0,0
544,.86360002,83625.778089,0,2. Female respondent selected,1. White,32,1,1,Seldom,4,Never,1,1,14,1,0,0,0,0
545,.5266,50993.225688,3,2. Female respondent selected,4. Other race,49,1,0,Nearly Always,4,Several/Day,1,0,14,14,1,1,1,0
546,1.6521,159971.58146,0,1. Male respondent selected,1. White,29,0,1,Seldom,5,Once/week,1,0,11,12,0,0,0,0
547,.70819998,68569.997349,2,1. Male respondent selected,1. White,41,0,1,Part of the Time,5,Several/Day,1,0,15,13,0,1,0,1
548,1.6639,161111.654929,0,2. Female respondent selected,1. White,25,1,1,Seldom,4,Never,0,0,17,14,0,0,0,0
549,.9048,87609.02920800001,0,1. Male respondent selected,1. White,33,0,1,Seldom,7,Never,1,1,11,11,0,0,0,0
550,1.8235,176570.521523,1,2. Female respondent selected,1. White,48,1,1,Always,4,Few times a week,1,1,15,3,0,1,0,0
551,1.2736,123320.602259,0,2. Female respondent selected,1. White,46,1,1,,,Several/Day,1,1,12,14,0,0,0,0
552,.96539998,93482.558538,2,2. Female respondent selected,1. White,66,1,1,Always,5,Daily,1,0,16,16,0,1,0,1
553,.9181,88903.46647,2,2. Female respondent selected,1. White,74,1,1,Always,,Several/Day,1,0,14,15,0,1,0,1
554,1.1993001,116126.199229,3,1. Male respondent selected,1. White,65,0,1,Always,4,Few times a week,1,1,11,9,0,1,1,1
555,1.4909,144361.552081,0,2. Female respondent selected,1. White,28,1,1,Seldom,6,Several/Day,0,1,13,9,0,0,0,0
556,1.0095,97746.229529,2,2. Female respondent selected,1. White,35,1,1,Seldom,,Several/Day,1,0,14,4,0,0,1,1
557,.72549999,70246.69931,1,2. Female respondent selected,2. Black/African-American,45,1,0,Always,4,Several/Day,1,,14,9,0,1,0,0
558,.94870001,91858.414882,0,2. Female respondent selected,1. White,26,1,1,Nearly Always,4,Once/week,0,0,12,4,0,0,0,0
559,1.5142,146619.344294,2,2. Female respondent selected,1. White,32,1,1,Seldom,4,Daily,1,0,14,15,0,1,0,1
560,1.1171,108169.21973,3,1. Male respondent selected,1. White,55,0,1,Seldom,,Few times a week,1,0,12,17,0,1,1,1
561,.37259999,36078.805874,3,2. Female respondent selected,2. Black/African-American,42,1,0,Always,6,Daily,1,0,12,3,0,1,1,1
562,.74519998,72157.611749,0,2. Female respondent selected,2. Black/African-American,40,1,0,Seldom,,Several/Day,1,1,12,1,0,0,0,0
563,.38640001,37411.581446,2,2. Female respondent selected,2. Black/African-American,52,1,0,Part of the Time,,Several/Day,1,0,9,4,0,0,1,1
564,.58920002,57048.795377,0,1. Male respondent selected,1. White,63,0,1,Always,6,Several/Day,1,1,12,15,0,0,0,0
565,.70819998,68569.997349,0,1. Male respondent selected,1. White,45,0,1,Always,7,Once/week,1,1,13,14,0,0,0,0
566,.2762,26742.142303,0,2. Female respondent selected,2. Black/African-American,45,1,0,Always,,Several/Day,,,17,13,0,0,0,0
567,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,78,0,1,Nearly Always,5,Several/Day,1,0,10,,,,,
568,.77710003,75246.436048,0,1. Male respondent selected,1. White,58,0,1,Seldom,4,Several/Day,1,0,17,8,0,0,0,0
569,.77160001,74713.97012899999,3,1. Male respondent selected,1. White,51,0,1,Seldom,6,Never,,1,8,13,1,1,1,0
570,.56239998,54455.002476,0,2. Female respondent selected,1. White,60,1,1,Always,6,Few times a week,1,0,14,16,0,0,0,0
571,.2208,21375.311539,0,2. Female respondent selected,2. Black/African-American,39,1,0,Nearly Always,,Few times a week,1,0,14,12,0,0,0,0
572,1.3977,135336.053305,4,1. Male respondent selected,1. White,45,0,1,Part of the Time,6,Several/Day,1,1,12,15,1,1,1,1
573,.58969998,57096.401011,0,1. Male respondent selected,4. Other race,36,0,0,Always,3,Several/Day,1,1,17,18,0,0,0,0
574,.9181,88903.46647,0,2. Female respondent selected,,76,1,0,Always,1,Daily,1,0,17,6,0,0,0,0
575,.75760001,73362.041591,0,1. Male respondent selected,4. Other race,23,0,0,Seldom,4,Once/week,1,1,12,14,0,0,0,0
576,1.1329,109696.808614,0,1. Male respondent selected,1. White,24,0,1,Part of the Time,3,Never,1,0,16,17,0,0,0,0
577,1.1329,109696.808614,0,2. Female respondent selected,1. White,25,1,1,Nearly Always,3,Never,0,0,16,5,0,0,0,0
578,1.1078,107269.902089,0,2. Female respondent selected,1. White,30,1,1,Nearly Always,,Few times a week,1,1,13,17,0,0,0,0
579,.616,59650.749129,0,1. Male respondent selected,1. White,36,0,1,Seldom,4,Once/week,1,0,12,17,0,0,0,0
580,.55400002,53646.658217,0,1. Male respondent selected,2. Black/African-American,69,0,0,Always,7,Daily,,1,10,10,0,0,0,0
581,1.1436,110731.789309,1,1. Male respondent selected,1. White,45,0,1,Always,,Several/Day,1,1,12,13,0,1,0,0
582,.384,37185.088396,0,2. Female respondent selected,1. White,19,1,1,Seldom,5,Few times a week,1,0,13,2,0,0,0,0
583,.33970001,32894.113119,0,2. Female respondent selected,2. Black/African-American,75,1,0,Always,3,Several/Day,1,0,13,9,0,0,0,0
584,.32460001,31427.098489,0,2. Female respondent selected,2. Black/African-American,64,1,0,Part of the Time,,Several/Day,1,0,1,3,0,0,0,0
585,.42500001,41153.040149,1,2. Female respondent selected,2. Black/African-American,76,1,0,Always,2,Several/Day,1,0,17,11,0,1,0,0
586,.66430002,64319.220785,0,2. Female respondent selected,2. Black/African-American,19,1,0,Seldom,,Daily,1,0,11,3,0,0,0,0
587,.58920002,57048.795377,3,1. Male respondent selected,1. White,64,0,1,Nearly Always,6,Never,1,1,8,9,1,1,0,1
588,.73049998,70730.51620500001,0,1. Male respondent selected,1. White,39,0,1,Seldom,,Few times a week,1,1,10,2,0,0,0,0
589,.588,56938.655234,0,2. Female respondent selected,1. White,32,1,1,Always,2,Daily,1,1,17,6,0,0,0,0
590,.94870001,91858.414882,1,2. Female respondent selected,1. White,21,1,1,Seldom,,Daily,1,1,12,1,0,1,0,0
591,1.2893,124845.632596,0,1. Male respondent selected,1. White,46,0,1,Seldom,,Daily,1,1,9,17,0,0,0,0
592,.70819998,68569.997349,0,2. Female respondent selected,1. White,47,1,1,Seldom,7,Once/week,1,1,14,15,0,0,0,0
593,.69859999,67645.265228,0,2. Female respondent selected,1. White,61,1,1,Nearly Always,,Several/Day,1,0,7,2,0,0,0,0
594,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,24,0,1,Seldom,4,Few times a week,1,0,11,1,,,,
595,1.2893,124845.632596,0,2. Female respondent selected,1. White,47,1,1,Seldom,,Once/week,1,0,11,1,0,0,0,0
596,.70819998,68569.997349,2,2. Female respondent selected,1. White,48,1,1,Always,6,Daily,1,1,14,3,1,1,0,0
597,.58920002,57048.795377,3,1. Male respondent selected,1. White,64,0,1,Nearly Always,4,Daily,1,1,12,11,1,1,1,0
598,.94870001,91858.414882,3,2. Female respondent selected,1. White,26,1,1,Seldom,5,Few times a week,1,0,12,10,0,1,1,1
599,.9181,88903.46647,3,1. Male respondent selected,1. White,76,0,1,Nearly Always,4,Several/Day,1,0,17,7,1,1,0,1
